Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date,GenBank_Title
MW127503,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,"USA: Montana, Ravalli county",MT,Homo sapiens,oronasopharynx,2020-07-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RML-7/2020, complete genome"
MW127504,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,"USA: Montana, Ravalli county",MT,Homo sapiens,oronasopharynx,2020-07-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RML-8/2020, complete genome"
MW127505,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,"USA: Montana, Ravalli county",MT,Homo sapiens,oronasopharynx,2020-07-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RML-9/2020, complete genome"
MW130859,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,"saliva, oronasopharynx",2020-07-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AR-CDC-0871/2020, complete genome"
MW130860,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,"saliva, oronasopharynx",2020-07-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AR-CDC-7907/2020, complete genome"
MW130861,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-8726/2020, complete genome"
MW130862,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6230/2020, complete genome"
MW130863,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6231/2020, complete genome"
MW130864,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6232/2020, complete genome"
MW130865,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6233/2020, complete genome"
MW130866,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6234/2020, complete genome"
MW130867,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6235/2020, complete genome"
MW130868,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6236/2020, complete genome"
MW130869,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6237/2020, complete genome"
MW130870,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6238/2020, complete genome"
MW130871,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WI-CDC-6239/2020, complete genome"
MW130872,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-04-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-CDC-8704/2020, complete genome"
MW130873,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-8725/2020, complete genome"
MW130874,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-04-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-CDC-8752/2020, complete genome"
MW130875,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-4447/2020, complete genome"
MW130876,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-4459/2020, complete genome"
MW130877,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-4466/2020, complete genome"
MW130878,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-6364/2020, complete genome"
MW130879,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-6365/2020, complete genome"
MW130880,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-6367/2020, complete genome"
MW130881,2020-10-19T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-09-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA-CDC-6368/2020, complete genome"
MW093453,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0535/2020, complete genome"
MW093454,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0536/2020, complete genome"
MW093458,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0541/2020, complete genome"
MW093467,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0550/2020, complete genome"
MW093471,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0555/2020, complete genome"
MW093477,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0562/2020, complete genome"
MW093478,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0563/2020, complete genome"
MW093479,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0564/2020, complete genome"
